Time,Latitiude,Longitude
1545487647,40.8099,-6.2857
1545487652,40.6233,-5.9552
1545487657,40.4357,-5.6267
1545487662,40.2470,-5.3001
1545487668,40.0382,-4.9432
1545487673,39.8474,-4.6207
1545487678,39.6363,-4.2681
1545487683,39.4433,-3.9496
1545487689,39.2299,-3.6015
1545487694,39.0154,-3.2556
1545487699,38.8193,-2.9431
1545487704,38.6224,-2.6324
1545487710,38.4046,-2.2928
1545487715,38.2057,-1.9859
1545487720,38.0058,-1.6808
1545487725,37.8050,-1.3775
1545487730,37.5832,-1.0459
1545487736,37.3400,-0.6866
1545487741,37.1363,-0.3891
1545487746,36.9319,-0.0932
1545487752,36.7060,0.2302
1545487757,36.4997,0.5225
1545487762,36.2926,0.8132
1545487767,36.0640,1.1309
1545487772,35.8552,1.4180
1545487777,35.6457,1.7036
1545487783,35.4144,2.0158
1545487788,35.2033,2.2980
1545487793,34.9914,2.5786
1545487798,34.7575,2.8854
1545487803,34.5440,3.1627
1545487809,34.3084,3.4661
1545487814,34.0935,3.7402
1545487819,33.8562,4.0401
1545487824,33.6398,4.3111
1545487829,33.4227,4.5806
1545487835,33.1832,4.8754
1545487840,32.9647,5.1419
1545487845,32.7455,5.4070
1545487850,32.5257,5.6707
1545487856,32.2832,5.9592
1545487861,32.0621,6.2199
1545487866,31.8403,6.4793
1545487871,31.5957,6.7631
1545487876,31.3727,7.0197
1545487881,31.1490,7.2750
1545487887,30.9024,7.5543
1545487892,30.6776,7.8068
1545487897,30.4522,8.0581
1545487902,30.2036,8.3330
1545487907,29.9770,8.5817
1545487912,29.7498,8.8291
1545487918,29.4994,9.0998
1545487923,29.2711,9.3447
1545487928,29.0423,9.5884
1545487933,28.7901,9.8550
1545487938,28.5602,10.0963
1545487943,28.3299,10.3364
1545487949,28.0759,10.5992
1545487954,27.8445,10.8370
1545487960,27.5662,11.1208
1545487965,27.3338,11.3561
1545487970,27.0775,11.6137
1545487975,26.8441,11.8467
1545487980,26.6103,12.0787
1545487985,26.3760,12.3097
1545487991,26.1178,12.5626
1545487996,25.8826,12.7914
1545488001,25.6469,13.0193
1545488006,25.3872,13.2688
1545488011,25.1507,13.4946
1545488016,24.9137,13.7195
1545488022,24.6526,13.9657
1545488027,24.4149,14.1886
1545488032,24.1768,14.4105
1545488037,23.9144,14.6536
1545488042,23.6754,14.8737
1545488047,23.4361,15.0929
1545488053,23.1964,15.3112
1545488058,22.9323,15.5504
1545488063,22.6919,15.7669
1545488068,22.4511,15.9826
1545488074,22.1858,16.2189
1545488079,21.9443,16.4329
1545488084,21.6782,16.6673
1545488089,21.4360,16.8796
1545488094,21.1935,17.0911
1545488100,20.9264,17.3229
1545488105,20.6832,17.5329
1545488110,20.4398,17.7421
1545488115,20.1960,17.9505
1545488120,19.9274,18.1790
1545488125,19.6831,18.3860
1545488130,19.4384,18.5923
1545488136,19.1689,18.8184
1545488141,18.9237,19.0232
1545488146,18.6536,19.2477
1545488151,18.4078,19.4511
1545488156,18.1617,19.6540
1545488162,17.8907,19.8763
1545488167,17.6441,20.0778
1545488172,17.3972,20.2787
1545488177,17.1501,20.4789
1545488182,16.8780,20.6985
1545488187,16.6304,20.8976
1545488192,16.3825,21.0961
1545488198,16.1096,21.3138
1545488203,15.8613,21.5112
1545488208,15.6128,21.7080
1545488213,15.3391,21.9238
1545488218,15.0901,22.1195
1545488223,14.8409,22.3147
1545488229,14.5666,22.5288
1545488234,14.3169,22.7230
1545488239,14.0672,22.9167
1545488244,13.7922,23.1291
1545488249,13.5420,23.3218
1545488254,13.2916,23.5140
1545488260,13.0160,23.7250
1545488265,12.7653,23.9163
1545488270,12.5144,24.1072
1545488276,12.2383,24.3167
1545488281,11.9871,24.5067
1545488286,11.7105,24.7152
1545488291,11.4590,24.9045
1545488296,11.2073,25.0933
1545488302,10.9303,25.3006
1545488307,10.6782,25.4887
1545488312,10.4260,25.6764
1545488317,10.1738,25.8638
1545488322,9.8962,26.0695
1545488327,9.6436,26.2563
1545488332,9.3909,26.4426
1545488338,9.1129,26.6473
1545488343,8.8600,26.8331
1545488348,8.6070,27.0185
1545488353,8.3285,27.2222
1545488358,8.0753,27.4071
1545488363,7.8220,27.5917
1545488369,7.5432,27.7945
1545488374,7.2897,27.9786
1545488379,7.0361,28.1625
1545488384,6.7570,28.3645
1545488389,6.5032,28.5479
1545488394,6.2493,28.7311
1545488399,5.9953,28.9142
1545488405,5.7158,29.1153
1545488410,5.4617,29.2979
1545488415,5.2075,29.4803
1545488420,4.9278,29.6808
1545488425,4.6735,29.8629
1545488430,4.4191,30.0449
1545488436,4.1393,30.2449
1545488441,3.8848,30.4265
1545488446,3.6303,30.6081
1545488451,3.3503,30.8076
1545488456,3.0956,30.9889
1545488462,2.8156,31.1882
1545488467,2.5609,31.3693
1545488472,2.3062,31.5503
1545488477,2.0260,31.7494
1545488483,1.7712,31.9302
1545488488,1.5165,32.1110
1545488493,1.2362,32.3099
1545488498,0.9814,32.4906
1545488503,0.7266,32.6713
1545488509,0.4463,32.8700
1545488514,0.1915,33.0506
1545488519,-0.0633,33.2313
1545488524,-0.3182,33.4119
1545488529,-0.5984,33.6106
1545488534,-0.8532,33.7913
1545488539,-1.1080,33.9720
1545488545,-1.3883,34.1707
1545488550,-1.6430,34.3515
1545488555,-1.8978,34.5323
1545488560,-2.1781,34.7314
1545488565,-2.4327,34.9123
1545488570,-2.6874,35.0933
1545488576,-2.9674,35.2926
1545488581,-3.2220,35.4737
1545488586,-3.4765,35.6550
1545488591,-3.7564,35.8546
1545488596,-4.0109,36.0362
1545488601,-4.2652,36.2178
1545488606,-4.5196,36.3996
1545488612,-4.7993,36.5998
1545488617,-5.0534,36.7819
1545488622,-5.3329,36.9823
1545488627,-5.5870,37.1648
1545488633,-5.8664,37.3657
1545488638,-6.1202,37.5485
1545488643,-6.3741,37.7315
1545488648,-6.6532,37.9331
1545488653,-6.9068,38.1165
1545488658,-7.1603,38.3001
1545488663,-7.4137,38.4840
1545488669,-7.6924,38.6865
1545488674,-7.9457,38.8709
1545488679,-8.1988,39.0556
1545488684,-8.4772,39.2590
1545488689,-8.7301,39.4442
1545488695,-8.9829,39.6296
1545488700,-9.2608,39.8340
1545488705,-9.5133,40.0200
1545488710,-9.7657,40.2064
1545488716,-10.0432,40.4118
1545490042,-50.7897,130.5782
1545490047,-50.7278,131.0599
1545490052,-50.6572,131.5880
1545490057,-50.5908,132.0668
1545490062,-50.5223,132.5441
1545490067,-50.4516,133.0199
1545490073,-50.3715,133.5416
1545490078,-50.2964,134.0143
1545490083,-50.2193,134.4852
1545490088,-50.1320,135.0015
1545490093,-50.0505,135.4692
1545490098,-49.9669,135.9352
1545490104,-49.8727,136.4457
1545490109,-49.7849,136.9080
1545490114,-49.6860,137.4146
1545490119,-49.5940,137.8731
1545490124,-49.5001,138.3299
1545490130,-49.3944,138.8302
1545490135,-49.2964,139.2830
1545490140,-49.1964,139.7340
1545490145,-49.0841,140.2278
1545490150,-48.9801,140.6747
1545490155,-48.8742,141.1196
1545490161,-48.7556,141.6067
1545490166,-48.6458,142.0474
1545490171,-48.5341,142.4861
1545490176,-48.4092,142.9664
1545490181,-48.2937,143.4008
1545490186,-48.1765,143.8331
1545490192,-48.0455,144.3062
1545490197,-47.9245,144.7342
1545490202,-47.8018,145.1600
1545490208,-47.6648,145.6259
1545490213,-47.5385,146.0473
1545490218,-47.4105,146.4665
1545490223,-47.2678,146.9251
1545490228,-47.1363,147.3397
1545490233,-47.0031,147.7523
1545490239,-46.8547,148.2037
1545490244,-46.7181,148.6117
1545490249,-46.5799,149.0175
1545490254,-46.4261,149.4613
1545490259,-46.2847,149.8625
1545490264,-46.1416,150.2615
1545490269,-45.9971,150.6583
1545490275,-45.8364,151.0923
1545490280,-45.6887,151.4845
1545490285,-45.5395,151.8745
1545490290,-45.3737,152.3010
1545490295,-45.2214,152.6864
1545490300,-45.0677,153.0696
1545490306,-44.8970,153.4887
1545490311,-44.7403,153.8675
1545490316,-44.5664,154.2815
1545490321,-44.4069,154.6556
1545490326,-44.2460,155.0276
1545490332,-44.0674,155.4342
1545490337,-43.9037,155.8016
1545490342,-43.7387,156.1669
1545490347,-43.5557,156.5663
1545490352,-43.3880,156.9271
1545490357,-43.2190,157.2858
1545490362,-43.0487,157.6425
1545490368,-42.8601,158.0324
1545490373,-42.6872,158.3846
1545490378,-42.5132,158.7347
1545490383,-42.3204,159.1175
1545490388,-42.1439,159.4633
1545490393,-41.9662,159.8071
1545490399,-41.7694,160.1829
1545490404,-41.5894,160.5223
1545490409,-41.4082,160.8598
1545490415,-41.2076,161.2287
1545490420,-41.0241,161.5620
1545490425,-40.8395,161.8934
1545490430,-40.6352,162.2556
1545490435,-40.4483,162.5828
1545490440,-40.2605,162.9081
1545490446,-40.0526,163.2637
1545490451,-39.8626,163.5850
1545490456,-39.6716,163.9044
1545490461,-39.4796,164.2219
1545490466,-39.2673,164.5689
1545490471,-39.0732,164.8825
1545490477,-38.8587,165.2253
1545490482,-38.6627,165.5350
1545490487,-38.4657,165.8429
1545490492,-38.2480,166.1796
1545490497,-38.0491,166.4838
1545490502,-37.8494,166.7861
1545490508,-37.6286,167.1168
1545490513,-37.4270,167.4155
1545490518,-37.2246,167.7125
1545490523,-37.0009,168.0373
1545490528,-36.7966,168.3307
1545490534,-36.5710,168.6516
1545490539,-36.3651,168.9416
1545490544,-36.1583,169.2299
1545490549,-35.9508,169.5165
1545490554,-35.7216,169.8300
1545490559,-35.5125,170.1133
1545490564,-35.3025,170.3950
1545490570,-35.0707,170.7031
1545490575,-34.8592,170.9815
1545490580,-34.6469,171.2584
1545490585,-34.4126,171.5613
1545490590,-34.1989,171.8349
1545490595,-33.9845,172.1071
1545490601,-33.7478,172.4049
1545490606,-33.5319,172.6740
1545490611,-33.3153,172.9418
1545490617,-33.0763,173.2345
1545490622,-32.8583,173.4992
1545490627,-32.6398,173.7625
1545490632,-32.3986,174.0505
1545490637,-32.1786,174.3109
1545490643,-31.9359,174.5958
1545490648,-31.7147,174.8533
1545490653,-31.4928,175.1096
1545490658,-31.2481,175.3899
1545490663,-31.0250,175.6435
1545490668,-30.8013,175.8957
1545490674,-30.5546,176.1717
1545490679,-30.3297,176.4213
1545490684,-30.1043,176.6696
1545490689,-29.8556,176.9414
1545490694,-29.6291,177.1871
1545490699,-29.4020,177.4317
1545490704,-29.1743,177.6751
1545490710,-28.9233,177.9414
1545490715,-28.6946,178.1824
1545490720,-28.4654,178.4222
1545490725,-28.2127,178.6846
1545490730,-27.9824,178.9221
1545490735,-27.7517,179.1584
1545490741,-27.4974,179.4171
1545490746,-27.2657,179.6511
1545490751,-27.0334,179.8842
1545490756,-26.7775,-179.8608
1545490761,-26.5444,-179.6300
1545490766,-26.3108,-179.4002
1545490771,-26.0768,-179.1714
1545490777,-25.8189,-178.9209
1545490782,-25.5840,-178.6942
1545490787,-25.3487,-178.4685
1545490792,-25.0893,-178.2213
1545490797,-24.8531,-177.9976
1545490802,-24.6166,-177.7748
1545490808,-24.3558,-177.5308
1545490813,-24.1184,-177.3099
1545490818,-23.8806,-177.0899
1545490823,-23.6185,-176.8489
1545490829,-23.3800,-176.6307
1545490834,-23.1410,-176.4135
1545490839,-22.8778,-176.1754
1545490844,-22.6381,-175.9599
1545490850,-22.3740,-175.7238
1545490855,-22.1336,-175.5100
1545490860,-21.8929,-175.2970
1545490865,-21.6518,-175.0848
1545490870,-21.3862,-174.8523
1545490875,-21.1444,-174.6417
1545490880,-20.9023,-174.4318
1545490886,-20.6357,-174.2018
1545490891,-20.3929,-173.9936
1545490896,-20.1499,-173.7860
1545490901,-19.8823,-173.5585
1545490906,-19.6386,-173.3524
1545490911,-19.3947,-173.1470
1545490917,-19.1260,-172.9218
1545490922,-18.8815,-172.7178
1545490927,-18.6366,-172.5145
1545490932,-18.3670,-172.2915
1545490937,-18.1216,-172.0895
1545490942,-17.8760,-171.8881
1545490947,-17.6301,-171.6873
1545490953,-17.3594,-171.4672
1545490958,-17.1130,-171.2677
1545490963,-16.8664,-171.0688
1545490968,-16.5948,-170.8506
1545490973,-16.3477,-170.6528
1545490978,-16.1003,-170.4557
1545490984,-15.8280,-170.2394
1545490989,-15.5802,-170.0433
1545490994,-15.3322,-169.8478
1545490999,-15.0591,-169.6333
1545491004,-14.8107,-169.4389
1545491010,-14.5371,-169.2255
1545491015,-14.2883,-169.0321
1545491020,-14.0392,-168.8391
1545491025,-13.7650,-168.6274
1545491030,-13.5153,-168.4352
1545491035,-13.2657,-168.2437
1545491041,-12.9908,-168.0334
