Time,Latitiude,Longitude
1545502941,26.3084,175.1462
1545502947,26.5425,175.3765
1545502952,26.7761,175.6078
1545502957,27.0326,175.8635
1545502962,27.2653,176.0971
1545502967,27.4976,176.3317
1545502973,27.7526,176.5911
1545502978,27.9838,176.8281
1545502983,28.2146,177.0661
1545502988,28.4678,177.3291
1545502993,28.6976,177.5695
1545502998,28.9268,177.8111
1545503003,29.1555,178.0538
1545503009,29.4065,178.3221
1545503014,29.6341,178.5673
1545503019,29.8612,178.8137
1545503024,30.1103,179.0862
1545503029,30.3362,179.3351
1545503034,30.5616,179.5854
1545503040,30.8089,179.8621
1545503045,31.0331,-179.8850
1545503050,31.2790,-179.6053
1545503055,31.5020,-179.3497
1545503060,31.7243,-179.0927
1545503066,31.9683,-178.8084
1545503071,32.1894,-178.5486
1545503076,32.4098,-178.2874
1545503081,32.6516,-177.9985
1545503086,32.8708,-177.7345
1545503091,33.0892,-177.4689
1545503097,33.3288,-177.1753
1545503102,33.5459,-176.9067
1545503107,33.7623,-176.6368
1545503112,33.9780,-176.3653
1545503117,34.2145,-176.0650
1545503122,34.4287,-175.7904
1545503127,34.6422,-175.5143
1545503133,34.8763,-175.2088
1545503138,35.0883,-174.9295
1545503143,35.2996,-174.6485
1545503148,35.5311,-174.3377
1545503153,35.7407,-174.0535
1545503159,35.9496,-173.7676
1545503164,36.1785,-173.4512
1545503169,36.3858,-173.1618
1545503174,36.5923,-172.8708
1545503180,36.8184,-172.5488
1545503185,37.0232,-172.2542
1545503190,37.2270,-171.9580
1545503195,37.4301,-171.6600
1545503200,37.6524,-171.3302
1545503205,37.8536,-171.0286
1545503211,38.0739,-170.6948
1545503216,38.2732,-170.3895
1545503221,38.4717,-170.0824
1545503226,38.6889,-169.7424
1545503231,38.8854,-169.4315
1545503237,39.1004,-169.0872
1545503242,39.2949,-168.7724
1545503247,39.4884,-168.4558
1545503252,39.7001,-168.1052
1545503257,39.8916,-167.7845
1545503262,40.0820,-167.4619
1545503268,40.2903,-167.1049
1545503273,40.4785,-166.7783
1545503278,40.6657,-166.4497
1545503283,40.8519,-166.1191
1545503288,41.0554,-165.7532
1545503293,41.2393,-165.4185
1545503298,41.4221,-165.0818
1545503304,41.6219,-164.7090
1545503309,41.8023,-164.3680
1545503314,41.9816,-164.0250
1545503319,42.1775,-163.6452
1545503324,42.3544,-163.2978
1545503329,42.5300,-162.9483
1545503334,42.7045,-162.5968
1545503340,42.8950,-162.2078
1545503345,43.0669,-161.8518
1545503350,43.2375,-161.4937
1545503355,43.4238,-161.0974
1545503360,43.5918,-160.7349
1545503366,43.7751,-160.3336
1545503371,43.9404,-159.9666
1545503376,44.1043,-159.5974
1545503381,44.2669,-159.2260
1545503387,44.4442,-158.8150
1545503392,44.6040,-158.4390
1545503397,44.7624,-158.0609
1545503402,44.9350,-157.6425
1545503407,45.0904,-157.2598
1545503412,45.2443,-156.8749
1545503418,45.4121,-156.4489
1545503423,45.5630,-156.0594
1545503428,45.7125,-155.6676
1545503433,45.8752,-155.2341
1545503438,46.0215,-154.8377
1545503444,46.1806,-154.3991
1545503449,46.3237,-153.9981
1545503454,46.4652,-153.5949
1545503459,46.6190,-153.1488
1545503464,46.7572,-152.7409
1545503469,46.8938,-152.3308
1545503475,47.0422,-151.8772
1545503480,47.1753,-151.4626
1545503485,47.3068,-151.0457
1545503490,47.4366,-150.6267
1545503495,47.5774,-150.1633
1545503500,47.7036,-149.7398
1545503506,47.8405,-149.2714
1545503511,47.9631,-148.8434
1545503516,48.0839,-148.4131
1545503521,48.2030,-147.9808
1545503526,48.3318,-147.5029
1545503531,48.4471,-147.0662
1545503537,48.5719,-146.5831
1545503542,48.6833,-146.1421
1545503547,48.7929,-145.6991
1545503552,48.9112,-145.2094
1545503557,49.0169,-144.7621
1545503562,49.1206,-144.3128
1545503568,49.2325,-143.8163
1545503573,49.3321,-143.3630
1545503578,49.4298,-142.9078
1545503584,49.5350,-142.4049
1545503589,49.6286,-141.9457
1545503594,49.7202,-141.4847
1545503599,49.8186,-140.9756
1545503604,49.9059,-140.5107
1545503609,49.9912,-140.0443
1545503615,50.0827,-139.5291
1545503620,50.1637,-139.0591
1545503625,50.2426,-138.5874
1545503630,50.3270,-138.0666
1545503635,50.4015,-137.5916
1545503640,50.4738,-137.1150
1545503646,50.5510,-136.5890
1545503651,50.6189,-136.1093
1545503656,50.6911,-135.5799
1545503661,50.7544,-135.0972
1545503666,50.8156,-134.6132
1545503671,50.8746,-134.1279
1545503677,50.9369,-133.5926
1545503682,50.9913,-133.1047
1545503687,51.0434,-132.6156
1545503692,51.0982,-132.0763
1545503697,51.1457,-131.5849
1545503702,51.1909,-131.0924
1545503708,51.2380,-130.5495
1545503713,51.2785,-130.0550
1545503718,51.3167,-129.5595
1545503723,51.3561,-129.0135
1545503728,51.3896,-128.5164
1545503733,51.4207,-128.0186
1545503739,51.4523,-127.4702
1545503744,51.4786,-126.9709
1545503749,51.5026,-126.4711
1545503754,51.5263,-125.9208
1545503759,51.5454,-125.4200
1545503764,51.5623,-124.9188
1545503769,51.5768,-124.4172
1545503775,51.5900,-123.8651
1545503780,51.5996,-123.3630
1545503785,51.6069,-122.8607
1545503791,51.6123,-122.3079
1545503796,51.6147,-121.8053
1545503801,51.6147,-121.3026
1545503806,51.6121,-120.7498
1545503811,51.6073,-120.2473
1545503816,51.6001,-119.7449
1545503822,51.5895,-119.1925
1545503827,51.5775,-118.6905
1545503832,51.5631,-118.1890
1545503837,51.5446,-117.6376
1545503842,51.5254,-117.1368
1545503847,51.5038,-116.6364
1545503853,51.4774,-116.0866
1545503858,51.4510,-115.5873
1545503863,51.4223,-115.0888
1545503868,51.3881,-114.5409
1545503873,51.3545,-114.0439
1545503878,51.3187,-113.5476
1545503884,51.2767,-113.0026
1545503889,51.2361,-112.5081
1545503894,51.1933,-112.0145
1545503899,51.1436,-111.4727
1545503904,51.0960,-110.9812
1545503909,51.0462,-110.4908
1545503915,50.9888,-109.9527
1545503920,50.9343,-109.4646
1545503925,50.8776,-108.9778
1545503930,50.8127,-108.4437
1545503935,50.7514,-107.9596
1545503940,50.6879,-107.4769
1545503946,50.6156,-106.9474
1545503951,50.5476,-106.4675
1545503956,50.4774,-105.9891
1545503961,50.4051,-105.5122
1545503966,50.3231,-104.9894
1545503971,50.2464,-104.5158
1545503976,50.1675,-104.0439
1545503982,50.0784,-103.5266
1545503987,49.9952,-103.0580
1545503992,49.9100,-102.5912
1545503998,49.8138,-102.0797
1545504003,49.7243,-101.6165
1545504008,49.6328,-101.1552
1545504013,49.5393,-100.6958
1545504018,49.4341,-100.1925
1545504023,49.3364,-99.7369
1545504028,49.2368,-99.2833
1545504034,49.1250,-98.7866
1545504039,49.0213,-98.3371
1545504044,48.9157,-97.8896
1545504049,48.7974,-97.3994
1545504054,48.6879,-96.9561
1545504059,48.5765,-96.5148
1545504065,48.4518,-96.0317
1545504070,48.3365,-95.5947
1545504075,48.2195,-95.1598
1545504080,48.0886,-94.6838
1545504085,47.9678,-94.2534
1545504090,47.8452,-93.8250
1545504096,47.7084,-93.3562
1545504101,47.5821,-92.9323
1545504106,47.4413,-92.4686
1545504111,47.3115,-92.0492
1545504116,47.1800,-91.6320
1545504122,47.0334,-91.1757
1545504127,46.8984,-90.7630
1545504132,46.7618,-90.3526
1545504137,46.6236,-89.9444
1545504142,46.4697,-89.4979
1545504147,46.3282,-89.0943
1545504152,46.1851,-88.6930
1545504158,46.0258,-88.2540
1545504163,45.8795,-87.8572
1545504168,45.7316,-87.4627
1545504173,45.5672,-87.0313
1545504178,45.4163,-86.6415
1545504183,45.2638,-86.2538
1545504189,45.0944,-85.8298
1545504194,44.9389,-85.4468
1545504199,44.7820,-85.0659
1545504204,44.6078,-84.6495
1545504210,44.4479,-84.2732
1545504215,44.2867,-83.8991
1545504220,44.1078,-83.4900
1545504225,43.9437,-83.1204
1545504230,43.7783,-82.7529
1545504236,43.5949,-82.3512
1545504241,43.4267,-81.9883
1545504246,43.2573,-81.6275
1545504251,43.0695,-81.2331
1545504256,42.8975,-80.8768
1545504262,42.7068,-80.4873
1545504267,42.5322,-80.1354
1545504272,42.3564,-79.7856
1545504277,42.1617,-79.4032
1545504282,41.9834,-79.0577
1545504287,41.8039,-78.7143
1545504292,41.6233,-78.3730
1545504298,41.4234,-77.9999
1545504303,41.2403,-77.6626
1545504308,41.0562,-77.3274
1545504313,40.8525,-76.9611
1545504318,40.6662,-76.6302
1545504323,40.4787,-76.3012
1545504329,40.2714,-75.9416
1545504334,40.0818,-75.6168
1545504339,39.8910,-75.2936
1545504344,39.6802,-74.9406
1545504349,39.4874,-74.6216
1545504354,39.2937,-74.3045
1545504360,39.0794,-73.9579
1545504365,38.8837,-73.6447
1545504370,38.6672,-73.3023
1545504375,38.4694,-72.9930
1545504380,38.2708,-72.6855
1545504386,38.0512,-72.3493
1545504391,37.8506,-72.0456
1545504396,37.6491,-71.7436
1545504401,37.4467,-71.4433
1545504406,37.2232,-71.1151
1545504411,37.0191,-70.8186
1545504416,36.8141,-70.5237
1545504422,36.5877,-70.2013
1545504427,36.3810,-69.9100
1545504432,36.1735,-69.6204
1545504438,35.9443,-69.3037
1545504443,35.7351,-69.0174
1545504448,35.5252,-68.7328
1545504453,35.2934,-68.4217
1545504458,35.0818,-68.1404
1545504463,34.8695,-67.8607
1545504468,34.6565,-67.5825
1545504474,34.4213,-67.2783
1545504479,34.2067,-67.0033
1545504484,33.9914,-66.7300
1545504489,33.7538,-66.4309
1545504494,33.5371,-66.1606
1545504499,33.3197,-65.8918
1545504505,33.0798,-65.5977
1545504510,32.8610,-65.3318
1545504515,32.6415,-65.0674
1545504520,32.3994,-64.7782
1545504525,32.1786,-64.5167
1545504530,31.9571,-64.2566
1545504536,31.7129,-63.9720
1545504541,31.4902,-63.7147
1545504546,31.2669,-63.4588
1545504551,31.0205,-63.1787
1545504556,30.7960,-62.9255
1545504562,30.5484,-62.6485
1545504567,30.3226,-62.3979
1545504572,30.0964,-62.1486
1545504577,29.8468,-61.8758
1545504582,29.6193,-61.6291
1545504587,29.3913,-61.3835
1545504593,29.1400,-61.1149
1545504598,28.9109,-60.8719
1545504603,28.6813,-60.6301
1545504608,28.4282,-60.3654
1545504613,28.1975,-60.1259
1545504618,27.9663,-59.8876
1545504623,27.7347,-59.6503
1545504629,27.4794,-59.3907
1545504634,27.2468,-59.1558
1545504639,27.0137,-58.9219
1545504645,26.7568,-58.6659
1545504650,26.5228,-58.4343
1545504655,26.2883,-58.2037
1545504660,26.0298,-57.9512
1545504665,25.7944,-57.7227
1545504670,25.5586,-57.4952
1545504675,25.3224,-57.2687
1545504681,25.0621,-57.0206
1545504686,24.8249,-56.7961
1545504691,24.5874,-56.5725
1545504696,24.3256,-56.3276
1545504701,24.0872,-56.1059
1545504706,23.8485,-55.8851
1545504712,23.5854,-55.6433
1545504717,23.3459,-55.4244
1545504722,23.1060,-55.2063
1545504727,22.8417,-54.9675
1545504732,22.6010,-54.7511
1545504737,22.3600,-54.5357
1545504742,22.1187,-54.3211
1545504748,21.8530,-54.0860
1545504753,21.6110,-53.8732
1545504758,21.3444,-53.6399
1545504763,21.1018,-53.4286
1545504768,20.8589,-53.2182
1545504774,20.5913,-52.9875
1545504779,20.3477,-52.7786
1545504784,20.1037,-52.5704
1545504789,19.8351,-52.3422
1545504794,19.5906,-52.1355
1545504799,19.3458,-51.9295
1545504805,19.0763,-51.7037
1545504810,18.8309,-51.4991
1545504815,18.5853,-51.2952
1545504820,18.3147,-51.0716
1545504825,18.0686,-50.8690
1545504830,17.8221,-50.6671
1545504836,17.5508,-50.4457
1545504841,17.3038,-50.2450
1545504846,17.0565,-50.0449
1545504851,16.8090,-49.8454
1545504857,16.5366,-49.6267
1545504862,16.2886,-49.4284
1545504867,16.0405,-49.2306
1545504872,15.7672,-49.0138
1545504877,15.5186,-48.8172
1545504882,15.2697,-48.6211
1545504888,14.9958,-48.4060
1545504893,14.7465,-48.2110
1545504898,14.4970,-48.0165
1545504903,14.2224,-47.8031
1545504908,13.9725,-47.6096
1545504913,13.7224,-47.4166
1545504919,13.4472,-47.2048
1545504924,13.1968,-47.0128
1545504929,12.9461,-46.8211
1545504934,12.6954,-46.6300
1545504939,12.4194,-46.4201
1545504944,12.1682,-46.2298
1545504949,11.9169,-46.0399
